prn_1
base,13775,1,37,529,2267142.85714
base2,41325,1,37,529,2267142.85714
cache,16530,1.0,22,305,1307142.85714
base,13775,1,58,29432,126137142.857
base2,41325,1,62,29432,126137142.857
cache,16530,1.0,45,29432,126137142.857
base,13775,1,178,22538,96591428.5714
base2,41325,1,193,22538,96591428.5714
cache,61791,0.7,160,15815,67778571.4286
base,13775,1,340,1154,4945714.28571
base2,41325,1,359,1154,4945714.28571
cache,60215,0.4,252,507,2172857.14286
base,13775,1,744,1563,6698571.42857
base2,41325,1,765,1563,6698571.42857
cache,57794,0.1,379,274,1174285.71429
base,13775,1,1102,1456,6240000.0
base2,41325,1,1123,1456,6240000.0
cache,16530,1.0,463,572,2451428.57143
base,13775,1,1401,1484,6360000.0
base2,41325,1,1422,1484,6360000.0
cache,16530,1.0,749,1484,6360000.0
base,13775,1,1774,1822,7808571.42857
base2,41325,1,1795,1822,7808571.42857
cache,16530,1.0,1117,1822,7808571.42857
base,13775,1,2132,1629,6981428.57143
base2,41325,1,2153,1629,6981428.57143
cache,16530,1.0,1462,1630,6985714.28571
ts_0
base,3869,1,57,200,857142.857143
base2,11608,1,57,200,857142.857143
cache,4642,1.0,56,198,848571.428571
base,3869,1,176,221,947142.857143
base2,11608,1,176,221,947142.857143
cache,9024,1,175,221,947142.857143
base,3869,1,284,185,792857.142857
base2,11608,1,284,185,792857.142857
cache,17356,0.7,283,167,715714.285714
base,3869,1,405,208,891428.571429
base2,11608,1,405,208,891428.571429
cache,16913,0.4,404,160,685714.285714
base,3869,1,511,179,767142.857143
base2,11608,1,511,179,767142.857143
cache,16233,0.1,510,116,497142.857143
base,3869,1,706,529,2267142.85714
base2,11608,1,706,529,2267142.85714
cache,4642,1.0,692,437,1872857.14286
base,3869,1,818,185,792857.142857
base2,11608,1,818,185,792857.142857
cache,10241,1.0,803,185,792857.142857
base,3869,1,957,230,985714.285714
base2,11608,1,957,230,985714.285714
cache,13734,1.0,941,230,985714.285714
base,3869,1,1058,216,925714.285714
base2,11608,1,1058,216,925714.285714
cache,15025,1.0,1041,216,925714.285714
stg_1
base,2580,1,19,112,480000.0
base2,7740,1,19,112,480000.0
cache,3096,1.0,17,83,355714.285714
base,2580,1,40,172,737142.857143
base2,7740,1,40,172,737142.857143
cache,3096,1.0,38,170,728571.428571
base,2580,1,91,469,2010000.0
base2,7740,1,91,469,2010000.0
cache,5786,1.0,89,469,2010000.0
base,2580,1,124,279,1195714.28571
base2,7740,1,124,279,1195714.28571
cache,11278,1.0,118,279,1195714.28571
base,2580,1,186,266,1140000.0
base2,7740,1,186,266,1140000.0
cache,19715,1.0,180,266,1140000.0
base,2580,1,262,446,1911428.57143
base2,7740,1,262,446,1911428.57143
cache,9369,0.7,256,333,1427142.85714
base,2580,1,297,323,1384285.71429
base2,7740,1,297,323,1384285.71429
cache,13660,0.4,289,151,647142.857143
base,2580,1,375,376,1611428.57143
base2,7740,1,375,376,1611428.57143
cache,3096,1.0,338,162,694285.714286
base,2580,1,473,384,1645714.28571
base2,7740,1,473,384,1645714.28571
cache,3096,1.0,376,384,1645714.28571
wdev_0
base,3360,1,4311,11424,48960000.0
base2,10081,1,7892,7886,33797142.8571
cache,4032,1.0,7642,5890,25242857.1429
base,3360,1,4380,121,518571.428571
base2,10081,1,7974,121,518571.428571
cache,18811,0.4,7710,91,390000.0
base,3360,1,4461,122,522857.142857
base2,10081,1,8055,122,522857.142857
cache,15073,0.1,7781,74,317142.857143
base,3360,1,4570,154,660000.0
base2,10081,1,8168,154,660000.0
cache,14689,0.1,7881,103,441428.571429
base,3360,1,4693,197,844285.714286
base2,10081,1,8291,197,844285.714286
cache,14098,0.1,7986,116,497142.857143
base,3360,1,5238,796,3411428.57143
base2,10081,1,8865,796,3411428.57143
cache,12203,0.1,8362,415,1778571.42857
base,3360,1,5425,254,1088571.42857
base2,10081,1,9053,254,1088571.42857
cache,17792,0.1,8499,152,651428.571429
base,3360,1,5505,123,527142.857143
base2,10081,1,9133,123,527142.857143
cache,10816,0.1,8574,82,351428.571429
base,3360,1,6002,671,2875714.28571
base2,10081,1,9630,671,2875714.28571
cache,8823,0.1,8944,395,1692857.14286
hm_0
base,33042,1,160,316,1354285.71429
base2,99126,1,160,316,1354285.71429
cache,39650,1.0,150,299,1281428.57143
base,33042,1,295,170,728571.428571
base2,99126,1,295,170,728571.428571
cache,39650,1.0,278,170,728571.428571
base,33042,1,459,222,951428.571429
base2,99126,1,459,222,951428.571429
cache,39650,1.0,442,222,951428.571429
base,33042,1,648,248,1062857.14286
base2,99126,1,648,248,1062857.14286
cache,39650,1.0,631,248,1062857.14286
base,33042,1,1006,481,2061428.57143
base2,99126,1,1006,481,2061428.57143
cache,39650,1.0,989,481,2061428.57143
base,33042,1,1188,243,1041428.57143
base2,99126,1,1188,243,1041428.57143
cache,39650,1.0,1171,243,1041428.57143
base,33042,1,1354,217,930000.0
base2,99126,1,1354,217,930000.0
cache,87474,1.0,1337,217,930000.0
base,33042,1,1514,204,874285.714286
base2,99126,1,1514,204,874285.714286
cache,117314,1.0,1497,204,874285.714286
base,33042,1,1672,200,857142.857143
base2,99126,1,1672,200,857142.857143
cache,128344,1.0,1655,200,857142.857143
src1_2
base,13203,1,2448,7740,33171428.5714
base2,39609,1,2448,7740,33171428.5714
cache,15843,1.0,2316,5822,24951428.5714
base,13203,1,2509,88,377142.857143
base2,39609,1,2509,88,377142.857143
cache,15843,1.0,2377,88,377142.857143
base,13203,1,2624,208,891428.571429
base2,39609,1,2624,208,891428.571429
cache,15843,1.0,2491,208,891428.571429
base,13203,1,2721,165,707142.857143
base2,39609,1,2721,165,707142.857143
cache,15843,1.0,2588,165,707142.857143
base,13203,1,2774,67,287142.857143
base2,39609,1,2774,67,287142.857143
cache,15843,1.0,2641,67,287142.857143
base,13203,1,2862,123,527142.857143
base2,39609,1,2862,123,527142.857143
cache,15843,1.0,2728,123,527142.857143
base,13203,1,2910,61,261428.571429
base2,39609,1,2910,61,261428.571429
cache,15843,1.0,2776,61,261428.571429
base,13203,1,2968,74,317142.857143
base2,39609,1,2968,74,317142.857143
cache,15843,1.0,2834,74,317142.857143
base,13203,1,3023,75,321428.571429
base2,39609,1,3023,75,321428.571429
cache,15843,1.0,2889,75,321428.571429
rsrch_0
base,3878,1,110,316,1354285.71429
base2,11634,1,110,316,1354285.71429
cache,4653,1.0,107,302,1294285.71429
base,3878,1,279,293,1255714.28571
base2,11634,1,279,293,1255714.28571
cache,10852,1.0,276,293,1255714.28571
base,3878,1,424,245,1050000.0
base2,11634,1,424,245,1050000.0
cache,17395,1.0,421,245,1050000.0
base,3878,1,552,261,1118571.42857
base2,11634,1,552,261,1118571.42857
cache,16951,0.7,548,212,908571.428571
base,3878,1,701,249,1067142.85714
base2,11634,1,701,249,1067142.85714
cache,16270,0.4,696,195,835714.285714
base,3878,1,852,269,1152857.14286
base2,11634,1,852,269,1152857.14286
cache,14082,0.1,845,159,681428.571429
base,3878,1,982,220,942857.142857
base2,11634,1,982,220,942857.142857
cache,20532,0.1,969,131,561428.571429
base,3878,1,1113,235,1007142.85714
base2,11634,1,1113,235,1007142.85714
cache,27536,0.1,1098,139,595714.285714
base,3878,1,1251,203,870000.0
base2,11634,1,1251,203,870000.0
cache,30125,0.1,1236,148,634285.714286
